Region,L-R AUROC,L-R AUPRC,Recon R²,Accuracy
AX,0.7229924031468518,0.9250314261252612,0.9056729674339294,0.8069512375870758
LA,0.8029080190228245,0.9780162685988756,0.9452605247497559,0.9286213195787664
LV,0.7888433470601066,0.9349924220438504,0.961250901222229,0.8181447054390152
RA,0.6517646900098246,0.9566965277336417,0.8192509412765503,0.9310919943820225
RV,0.9851623683658947,0.9998246642086359,0.9684558510780334,0.9888454751701538
SP,0.3786486389427566,0.993673120280689,0.7134934067726135,0.9854840470040382
