val_loss,lr_auroc,lr_auprc,lr_accuracy,lr_f1,recon_mse,recon_r2,recon_pearson,epoch,n_params,experiment,ablation_type,ablation_setting
0.0741126239299774,0.5861480738024796,0.9764892594758394,0.77922057530461,0.8747204576031077,0.0741126,0.8196449,0.9874823,29,1469683770,edge_types/spatial_only,edge_types,spatial_only
0.0745827034115791,0.8619512544178322,0.9936941657649758,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,edge_types/dual_edges,edge_types,dual_edges
0.0649231895804405,0.6898707059411804,0.982898484044448,0.9671209647029269,0.9832790341126868,0.06492312,0.84200776,0.9788425,29,1468829754,gat_layers/1_layer,gat_layers,1_layer
0.0745378285646438,0.7243550807175909,0.98519814975486,0.8816103504584851,0.9363379996284976,0.07453784,0.8186101,0.98846406,29,1468961082,gat_layers/2_layers,gat_layers,2_layers
0.0745826959609985,0.8619513256105147,0.993694162096712,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,gat_layers/3_layers,gat_layers,3_layers
0.0619654282927513,0.8478203850073368,0.9929597968890844,0.8879537746514257,0.9394258356959748,0.061965503,0.8492052,0.98855036,29,1470411066,gat_layers/4_layers,gat_layers,4_layers
0.0725982934236526,0.8406880845527328,0.9926044447174276,0.9552191935686472,0.976924446170526,0.07259828,0.82333004,0.98726594,29,1469686074,attention_heads/1_head,attention_heads,1_head
0.0689831227064132,0.8976430887286977,0.9955085013126947,0.9635096093455596,0.9812271801996834,0.06898312,0.83212763,0.9872853,29,1469686074,attention_heads/4_heads,attention_heads,4_heads
0.0745827034115791,0.8619512939693224,0.993694164229162,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,attention_heads/8_heads,attention_heads,8_heads
0.0,0.4033309608503767,0.9552011545076788,0.947541138047984,0.9730579725338084,,,,0,1467679681,tasks/lr_only,tasks,lr_only
0.0090729109942913,,,,,0.0090729100629687,0.9779208302497864,0.993707835674286,29,6733104,tasks/recon_only,tasks,recon_only
0.0,,,,,,,,0,4862921,tasks/classify_only,tasks,classify_only
0.0769107118248939,0.8842700140052618,0.994726726001114,0.9537903529707324,0.9760308837542656,0.0769106969237327,0.8128356337547302,0.98835027217865,29,1469617969,tasks/lr_recon,tasks,lr_recon
0.0,0.4025026972732024,0.9550799701165869,0.947085793242055,0.9728177579893208,,,,0,1467747786,tasks/lr_classify,tasks,lr_classify
0.0101421577855944,,,,,0.0101421531289815,0.9753187894821168,0.9924423694610596,29,6801209,tasks/recon_classify,tasks,recon_classify
0.0745826810598373,0.861951551054009,0.9936941787069064,0.9678432357744002,0.983623336745138,0.0745827257633209,0.8185008764266968,0.9873870611190796,29,1469686074,tasks/all_tasks,tasks,all_tasks
0.0745827034115791,0.8619512306869381,0.993694158073758,0.9678432357744002,0.983623336745138,0.07458275,0.81850076,0.987387,29,1469686074,graph_method/knn_4,graph_method,knn_4
0.0745826959609985,0.8619513374759615,0.9936941662769156,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,graph_method/knn_6,graph_method,knn_6
0.0745827034115791,0.8619513018796204,0.993694162596692,0.9678432357744002,0.983623336745138,0.07458275,0.81850076,0.98738706,29,1469686074,graph_method/knn_10,graph_method,knn_10
0.0745827034115791,0.8619512069560439,0.9936941625724588,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,encoder/mlp_encoder,encoder,mlp_encoder
0.0696346014738082,0.7964801024718994,0.9901120778848914,0.9645930159527698,0.9819329717257016,0.06963463,0.8305422,0.9890759,29,1469751866,encoder/variational_encoder,encoder,variational_encoder
0.1005287915468216,0.6882724183561726,0.9820557099722173,0.7235114935309634,0.8362151553765591,0.10052887,0.7553601,0.9829869,29,95188986,hidden_dim/dim_64,hidden_dim,dim_64
0.0885772630572319,0.8062567364592526,0.9911937332655733,0.9663201859062932,0.9828628951720502,0.0885773,0.7844447,0.98675287,29,371054266,hidden_dim/dim_128,hidden_dim,dim_128
0.0745827034115791,0.8619513177002165,0.9936941662429816,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,hidden_dim/dim_256,hidden_dim,dim_256
0.1167021244764328,0.4692590432524576,0.9620020145501668,0.3042017334505715,0.4485290457464284,0.11670218,0.716002,0.9861115,29,5857958970,hidden_dim/dim_512,hidden_dim,dim_512
0.4922017455101013,0.8939625852553136,0.9951152090139206,0.9685655068458736,0.9839791296554152,0.4922018,-0.19778693,-0.0027740768,29,1468972698,decoder_type/basic_decoder,decoder_type,basic_decoder
0.0745827034115791,0.861951218821491,0.9936941683289576,0.9678432357744002,0.983623336745138,0.07458275,0.81850076,0.98738706,29,1469686074,decoder_type/residual_decoder,decoder_type,residual_decoder
0.0708459243178367,0.7680856446703452,0.9881352226465128,0.9569620650672026,0.9779145750912503,0.07084599,0.8275943,0.98636144,29,1469686074,dropout/dropout_0,dropout,dropout_0
0.0745826959609985,0.8619513453862598,0.9936941660522493,0.9678432357744002,0.983623336745138,0.07458274,0.8185008,0.98738706,29,1469686074,dropout/dropout_0.1,dropout,dropout_0.1
0.0736028999090194,0.9052462457191544,0.9959342026208026,0.9685341037558096,0.9839608144448712,0.073603,0.82088506,0.9881424,29,1469686074,dropout/dropout_0.2,dropout,dropout_0.2
