val_loss,lr_auroc,lr_auprc,lr_accuracy,lr_f1,lr_precision,lr_recall,recon_mse,recon_mae,recon_rmse,recon_pearson_mean,recon_pearson_median,recon_r2,epoch,n_params,experiment,ablation_type,ablation_setting
0.09947770088911057,0.0,0.0,0.9977176966292135,0.0,0.0,0.0,0.09947772324085236,0.09651826322078705,0.3154008984565735,0.9856072664260864,0.9861125946044922,0.7260531187057495,0,1469684091,edge_types/spatial_only,edge_types,spatial_only
0.09947770833969116,0.0,0.0,0.9977176966292135,0.0,0.0,0.0,0.09947772324085236,0.09651826322078705,0.3154008984565735,0.9856072664260864,0.9861124753952026,0.7260531187057495,0,1469684091,edge_types/lr_only,edge_types,lr_only
0.10088562220335007,0.0,0.0,0.9881056882022472,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.981525182723999,0.7221760749816895,0,1469686395,edge_types/dual_edges,edge_types,dual_edges
0.1038663238286972,0.0,0.0,0.9660946278089888,0.0,0.0,0.0,0.10386627167463303,0.0975743755698204,0.32228291034698486,0.9828577041625977,0.9827650785446167,0.7139676809310913,0,1468961403,gat_layers/2_layers,gat_layers,2_layers
0.10088562220335007,0.0,0.0,0.9881056882022472,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.981525182723999,0.7221760749816895,0,1469686395,gat_layers/3_layers,gat_layers,3_layers
0.101450614631176,0.0,0.0,1.0,0.0,0.0,0.0,0.10145067423582077,0.09600065648555756,0.3185132145881653,0.9728776216506958,0.9729461669921875,0.7206198573112488,3,1470411387,gat_layers/4_layers,gat_layers,4_layers
0.10171348601579666,0.0,0.0,0.9999561095505618,0.0,0.0,0.0,0.10171354562044144,0.0976082980632782,0.3189256191253662,0.9805495738983154,0.9800314903259277,0.7198959589004517,0,1471136379,gat_layers/5_layers,gat_layers,5_layers
0.10091220587491989,0.0,0.0,0.9864597963483146,0.0,0.0,0.0,0.10091222077608109,0.09712880104780197,0.31766682863235474,0.9817149043083191,0.9815347194671631,0.7221026420593262,0,1469686395,attention_heads/1_head,attention_heads,1_head
0.10090988129377365,0.0,0.0,0.9884348665730337,0.0,0.0,0.0,0.10090983659029007,0.09712384641170502,0.3176630735397339,0.981706440448761,0.9815205335617065,0.7221091985702515,0,1469686395,attention_heads/2_heads,attention_heads,2_heads
0.10088896006345749,0.0,0.0,0.9882373595505618,0.0,0.0,0.0,0.10088897496461868,0.09711730480194092,0.31763026118278503,0.9817119836807251,0.9815317988395691,0.7221666574478149,0,1469686395,attention_heads/4_heads,attention_heads,4_heads
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815251231193542,0.7221760749816895,0,1469686395,attention_heads/8_heads,attention_heads,8_heads
0.1008908674120903,0.0,0.0,0.9883909761235955,0.0,0.0,0.0,0.10089085251092911,0.09712418913841248,0.3176332116127014,0.9817091822624207,0.9815340042114258,0.7221615314483643,0,1469686395,attention_heads/16_heads,attention_heads,16_heads
0.0,0.0,0.0,0.9983979985955056,0.0,0.0,0.0,,,,,,,0,1467679745,tasks/lr_only,tasks,lr_only
0.10454228520393372,0.0,0.0,0.9844847261235955,0.0,0.0,0.0,0.1045423075556755,0.0981922373175621,0.32333001494407654,0.9838363528251648,0.9840185046195984,0.7121059894561768,0,1469618033,tasks/lr_recon,tasks,lr_recon
0.0,0.0,0.0,0.9984418890449438,0.0,0.0,0.0,,,,,,,0,1467748107,tasks/lr_classify,tasks,lr_classify
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.981525182723999,0.7221760749816895,0,1469686395,tasks/all_tasks,tasks,all_tasks
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.981525182723999,0.7221760749816895,0,1469686395,graph_method/knn_4,graph_method,knn_4
0.10088562220335007,0.0,0.0,0.9881056882022472,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815250635147095,0.7221760749816895,0,1469686395,graph_method/knn_6,graph_method,knn_6
0.10088562220335007,0.0,0.0,0.9881056882022472,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815251231193542,0.7221760749816895,0,1469686395,graph_method/knn_10,graph_method,knn_10
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815251231193542,0.7221760749816895,0,1469686395,graph_method/radius_50,graph_method,radius_50
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815250635147095,0.7221760749816895,0,1469686395,graph_method/radius_100,graph_method,radius_100
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.9815251231193542,0.7221760749816895,0,1469686395,graph_method/delaunay,graph_method,delaunay
0.10088562220335007,0.0,0.0,0.9880837429775281,0.0,0.0,0.0,0.10088557749986649,0.09711746871471405,0.31762489676475525,0.9817001819610596,0.981525182723999,0.7221760749816895,0,1469686395,encoder/mlp_encoder,encoder,mlp_encoder
