edge_idx,source_cell,target_cell,causal_score,lr_score,region
489,30,218,1.0,0.9969416260719299,RA
122,7,4721,1.0,0.998434841632843,RA
458,29,1280,1.0,0.9844685196876526,RA
185,11,1005,1.0,0.9967585206031799,RA
266,17,359,1.0,1.0,RA
496,30,838,1.0,0.9937310814857483,RA
484,30,913,1.0,0.9990979433059692,RA
807,50,1217,1.0,0.9983168840408325,RA
315,20,269,1.0,0.9984996318817139,RA
703,44,3222,1.0,0.9944188594818115,RA
117,7,1865,1.0,0.9994039535522461,RA
6,0,246,1.0,0.9977486729621887,RA
492,30,511,1.0,0.9992535710334778,RA
123,7,1731,1.0,0.9997386336326599,RA
796,50,434,1.0,0.9989050626754761,RA
464,29,379,1.0,0.9970552921295166,RA
670,42,793,1.0,0.9997125267982483,RA
182,11,53,1.0,0.9954755902290344,RA
861,54,3348,1.0,0.9989344477653503,RA
269,17,705,1.0,1.0,RA
533,33,3042,1.0,0.9985800981521606,RA
114,7,1058,1.0,0.9991661310195923,RA
860,54,3218,1.0,0.9995525479316711,RA
13,0,2553,1.0,0.9985016584396362,RA
339,21,2887,1.0,0.9969979524612427,RA
497,30,1164,1.0,0.9975942969322205,RA
672,42,1053,1.0,0.9988403916358948,RA
671,42,404,1.0,0.9977251887321472,RA
271,17,283,1.0,0.9999998807907104,RA
674,42,5470,1.0,0.9989113807678223,RA
124,7,5205,1.0,0.9987188577651978,RA
459,29,1158,1.0,0.998275876045227,RA
333,21,430,1.0,0.9981740713119507,RA
858,54,388,1.0,0.9930017590522766,RA
112,7,949,1.0,0.9997411370277405,RA
677,42,3618,1.0,0.9991426467895508,RA
463,29,483,1.0,0.9978081583976746,RA
857,54,901,1.0,0.9939768314361572,RA
800,50,1104,1.0,0.9922642707824707,RA
805,50,1234,1.0,0.9995073080062866,RA
177,11,1698,1.0,0.998671293258667,RA
863,54,2783,1.0,0.9945917725563049,RA
461,29,869,1.0,0.9975669384002686,RA
680,42,4989,1.0,0.9976035952568054,RA
801,50,1078,1.0,0.9979034662246704,RA
865,54,821,1.0,0.9986225366592407,RA
864,54,1288,1.0,0.9987797141075134,RA
804,50,364,1.0,0.995875895023346,RA
797,50,1244,1.0,0.9981608986854553,RA
460,29,1102,1.0,0.9979490637779236,RA
