edge_idx,source_cell,target_cell,causal_score,lr_score,region
153,9,2371,1.0,0.9938721656799316,RV
149,9,1961,1.0,0.9960318207740784,RV
716,45,167,1.0,0.9985882639884949,RV
360,23,3807,1.0,0.9994601607322693,RV
144,9,828,1.0,0.9949824810028076,RV
480,30,294,1.0,0.994761049747467,RV
334,21,4291,1.0,0.9984103441238403,RV
805,50,1782,1.0,0.9862672090530396,RV
276,17,1178,1.0,0.9966005682945251,RV
717,45,1526,1.0,0.9984240531921387,RV
617,39,327,1.0,0.995159924030304,RV
723,45,2150,1.0,0.9966323971748352,RV
721,45,1598,1.0,0.9985648989677429,RV
145,9,19,1.0,0.9969366788864136,RV
620,39,2093,1.0,0.9989657402038574,RV
152,9,1340,1.0,0.9984991550445557,RV
340,21,704,1.0,0.9942137598991394,RV
157,9,424,1.0,0.9983125925064087,RV
860,54,1363,1.0,0.9938446283340454,RV
179,11,892,1.0,0.9983056783676147,RV
618,39,397,1.0,0.9988672733306885,RV
372,23,4956,1.0,0.9997232556343079,RV
724,45,1310,1.0,0.9997063279151917,RV
324,20,110,1.0,0.9949354529380798,RV
865,54,1993,1.0,0.9973272085189819,RV
374,23,4229,1.0,0.9998544454574585,RV
366,23,2270,1.0,0.9996665716171265,RV
627,39,1358,1.0,0.9963401556015015,RV
150,9,1667,1.0,0.9985633492469788,RV
780,49,3976,1.0,0.9966111779212952,RV
155,9,1696,1.0,0.9969558715820312,RV
175,11,2241,1.0,0.9985504746437073,RV
143,9,1024,1.0,0.9969995021820068,RV
858,54,1011,1.0,0.9986370205879211,RV
148,9,1617,1.0,0.9995166063308716,RV
369,23,1116,1.0,0.9999074935913086,RV
327,20,4899,1.0,0.9990007281303406,RV
857,54,2463,1.0,0.9928745031356812,RV
368,23,827,1.0,0.9992896318435669,RV
621,39,1845,1.0,0.9997989535331726,RV
154,9,891,1.0,0.9984402060508728,RV
872,54,2331,1.0,0.9971356391906738,RV
185,11,284,1.0,0.9990346431732178,RV
342,21,4332,1.0,0.997100293636322,RV
626,39,2326,1.0,0.9986897110939026,RV
1000,63,1470,1.0,0.9983160495758057,RV
969,61,4889,1.0,0.9987108707427979,RV
952,60,258,1.0,0.9987296462059021,RV
367,23,2121,1.0,0.9992197751998901,RV
365,23,1813,1.0,0.9995579123497009,RV
