edge_idx,source_cell,target_cell,causal_score,lr_score,region
18,1,1281,1.0,0.9928227663040161,LA
166,9,1073,1.0,0.9771749377250671,LA
400,24,637,1.0,0.9991410970687866,LA
155,9,1232,1.0,0.984263002872467,LA
121,7,47,1.0,0.9981856942176819,LA
406,25,377,1.0,0.999988317489624,LA
394,24,102,1.0,0.9997321963310242,LA
444,27,1379,1.0,0.9846797585487366,LA
151,9,320,1.0,0.9365459084510803,LA
128,7,78,1.0,0.9999675750732422,LA
126,7,842,1.0,0.9986169338226318,LA
93,5,884,1.0,0.9973517656326294,LA
164,9,1155,1.0,0.9843575954437256,LA
17,1,1492,1.0,0.9980997443199158,LA
461,28,857,1.0,0.9978293776512146,LA
160,9,941,1.0,0.979720950126648,LA
418,25,1380,1.0,0.9999173879623413,LA
362,22,5259,1.0,0.995606005191803,LA
462,28,1172,1.0,0.9987831711769104,LA
84,5,989,1.0,0.9932940006256104,LA
163,9,1290,1.0,0.9851369857788086,LA
25,1,694,1.0,0.9992896318435669,LA
497,30,1072,1.0,0.9735596776008606,LA
157,9,837,1.0,0.9784817099571228,LA
161,9,1173,1.0,0.9878203272819519,LA
153,9,596,1.0,0.988097608089447,LA
117,7,1301,1.0,0.9999262094497681,LA
162,9,1498,1.0,0.9829043745994568,LA
125,7,516,1.0,0.9998195767402649,LA
165,9,703,1.0,0.9820913672447205,LA
124,7,543,1.0,0.9999138116836548,LA
414,25,310,1.0,0.9999275207519531,LA
67,3,1386,1.0,0.9999275207519531,LA
464,28,1143,1.0,0.9985646605491638,LA
19,1,956,1.0,0.9970953464508057,LA
417,25,855,1.0,0.9999717473983765,LA
158,9,1636,1.0,0.982284426689148,LA
442,27,1114,1.0,0.9937084913253784,LA
280,17,412,1.0,0.993746280670166,LA
407,25,738,1.0,0.9999854564666748,LA
156,9,1059,1.0,0.9783416986465454,LA
493,30,240,1.0,0.989973783493042,LA
204,12,892,1.0,0.9989080429077148,LA
279,17,1590,1.0,0.9917226433753967,LA
301,18,573,1.0,0.9988076686859131,LA
594,36,122,1.0,0.9999074935913086,LA
589,36,739,1.0,0.9999316930770874,LA
466,28,72,1.0,0.9917329549789429,LA
357,22,899,1.0,0.9897964596748352,LA
85,5,536,1.0,0.9956437349319458,LA
